month,day,hour,value
2,8,1400,0.6
2,8,1500,0.2
2,8,1600,-0.2
2,8,1700,-0.6
2,8,1800,-1.4
2,8,1900,-1.5
2,8,2000,-1.9
2,8,2100,-2.2
2,8,2200,-2.2
2,8,2300,-0.4
2,9,0,1.2
2,9,100,2.5
2,9,200,3.5
2,9,300,4.9
2,9,400,6.7
2,9,500,6.7
2,9,600,6.8
2,9,700,5.6
2,9,800,4.3
2,9,900,3
2,9,1000,2.4
2,9,1100,1.8
2,9,1200,1.6
2,9,1300,1
2,9,1400,0.2
2,9,1500,-0.5
2,9,1600,-0.8
2,9,1700,-0.9
2,9,1800,-1.1
2,9,1900,-1.7
2,9,2000,-1.7
2,9,2100,-1.9
2,9,2200,-1.7
2,9,2300,-0.1
2,10,0,1.2
2,10,100,3
2,10,200,5.3
2,10,300,6
2,10,400,5.6
2,10,500,5.9
2,10,600,6.1
2,10,700,5.5
2,10,800,4.6
2,10,900,3.9
2,10,1000,3
2,10,1100,2.9
2,10,1200,1.3
2,10,1300,1.1
2,10,1400,1
2,10,1500,-0.2
2,10,1600,-1
2,10,1700,-1.4
2,10,1800,-1.8
2,10,1900,-1.7
2,10,2000,-2.3
2,10,2100,-2.4
2,10,2200,-2
2,10,2300,-0.9
2,11,0,1.3
2,11,100,2.6
2,11,200,3.4
2,11,300,3.7
2,11,400,3.6
2,11,500,5.1
2,11,600,5.1
2,11,700,5.4
2,11,800,4.1
2,11,900,3.4
2,11,1000,3
2,11,1100,2.9
2,11,1200,2.5
2,11,1300,1.5
2,11,1400,1
2,11,1500,0.6
2,11,1600,-0.4
2,11,1700,-0.3
2,11,1800,-0.4
2,11,1900,-0.9
2,11,2000,-1.7
2,11,2100,-1.7
2,11,2200,-1.7
2,11,2300,0.4
2,12,0,3.2
2,12,100,5
2,12,200,6.5
2,12,300,8.5
2,12,400,10
2,12,500,11.4
2,12,600,11.8
2,12,700,10.8
2,12,800,9.3
2,12,900,8.2
2,12,1000,7.4
2,12,1100,6.6
2,12,1200,5.2
2,12,1300,4.5
2,12,1400,3.7
2,12,1500,2.5
2,12,1600,2.2
2,12,1700,2.4
2,12,1800,1.7
2,12,1900,0.6
2,12,2000,0.1
2,12,2100,0.5
2,12,2200,1.8
2,12,2300,3.7
2,13,0,7.7
2,13,100,11.8
2,13,200,13.2
2,13,300,14.6
2,13,400,15.3
2,13,500,15.3
2,13,600,15.9
2,13,700,15.3
2,13,800,14
2,13,900,12.8
2,13,1000,12.6
2,13,1100,11.8
2,13,1200,11.8
2,13,1300,11.3
2,13,1400,10.5
2,13,1500,10.4
2,13,1600,10.1
2,13,1700,9.6
2,13,1800,9.4
2,13,1900,9.1
2,13,2000,9.1
2,13,2100,9.3
2,13,2200,10
2,13,2300,10.8
2,14,0,12.3
2,14,100,14.2
2,14,200,15.9
2,14,300,16.4
2,14,400,17.700001
2,14,500,18.200001
2,14,600,17.9
2,14,700,17
2,14,800,15.6
2,14,900,14.6
2,14,1000,14
2,14,1100,14.1
2,14,1200,14.1
2,14,1300,14.1
2,14,1400,13.6
2,14,1500,13.1
2,14,1600,12.6
2,14,1700,13.1
2,14,1800,13.1
2,14,1900,13
2,14,2000,12.8
2,14,2100,12
2,14,2200,12.3
2,14,2300,10.1
2,15,0,8.8
2,15,100,6.2
2,15,200,4.9
2,15,300,3.1
2,15,400,2.4
2,15,500,2.4
2,15,600,2.7
2,15,700,2.7
2,15,800,2
2,15,900,1.8
2,15,1000,2
2,15,1100,2.2
2,15,1200,2.2
2,15,1300,2.2
2,15,1400,1.7
2,15,1500,1.7
2,15,1600,1.5
2,15,1700,0.6
2,15,1800,0.5
2,15,1900,0.1
2,15,2000,0
2,15,2100,-0.4
2,15,2200,0.4
2,15,2300,1.7
2,16,0,3.5
2,16,100,5.5
2,16,200,6.4
2,16,300,7.3
2,16,400,7.9
2,16,500,8.9
2,16,600,9
2,16,700,8.4
2,16,800,7.8
